POISSON EQUATION FINITE-DIFFERENCE METHOD

  I  J    X(I)        Y(J)         W(I,J)          True         Error 
 13  3  5.20000000  1.00000000    3.51242974    3.86133333    0.34890359
 13  4  5.20000000  1.33333333    3.34201950    3.70251852    0.36049902
 13  5  5.20000000  1.66666667    3.17633581    3.51407407    0.33773826
 13  6  5.20000000  2.00000000    3.00741658    3.29600000    0.28858342
 13  7  5.20000000  2.33333333    2.82812571    3.04829630    0.22017059
 13  8  5.20000000  2.66666667    2.63166134    2.77096296    0.13930162
 13  9  5.20000000  3.00000000    2.41111247    2.46400000    0.05288753
 13 10  5.20000000  3.33333333    2.15896377    2.12740741    0.03155636
 13 11  5.20000000  3.66666667    1.86643767    1.76118519    0.10525248
 13 12  5.20000000  4.00000000    1.52251624    1.36533333    0.15718290
 13 13  5.20000000  4.33333333    1.11240126    0.93985185    0.17254940
 13 14  5.20000000  4.66666667    0.61509191    0.48474074    0.13035117
 14  1  5.60000000  0.33333333    2.09223458    2.19437037    0.10213579
 14  2  5.60000000  0.66666667    1.97644503    2.13392593    0.15748090
 14  3  5.60000000  1.00000000    1.87809241    2.05866667    0.18057426
 14  4  5.60000000  1.33333333    1.78875774    1.96859259    0.17983485
 14  5  5.60000000  1.66666667    1.70270553    1.86370370    0.16099817
 14  6  5.60000000  2.00000000    1.61547695    1.74400000    0.12852305
 14  7  5.60000000  2.33333333    1.52322620    1.60948148    0.08625528
 14  8  5.60000000  2.66666667    1.42233480    1.46014815    0.03781335
 14  9  5.60000000  3.00000000    1.30910939    1.29600000    0.01310939
 14 10  5.60000000  3.33333333    1.17945140    1.11703704    0.06241436
 14 11  5.60000000  3.66666667    1.02838354    0.92325926    0.10512428
 14 12  5.60000000  4.00000000    0.84923248    0.71466667    0.13456582
 14 13  5.60000000  4.33333333    0.63201163    0.49125926    0.14075237
 14 14  5.60000000  4.66666667    0.35982744    0.25303704    0.10679040
Convergence occurred on iteration number: 502
